FeatureID,SampleID,MouseID,Treatment,Time_days,Reads,RelAbund
128696fec65599e4b8dcefa3d81b156f,MOUSE.G11.Day1,G11,Before_Diet,1,3225,0.23345880990299697
128696fec65599e4b8dcefa3d81b156f,MOUSE.G11.Day3,G11,Before_Diet,3,12,9.246417013407304e-4
128696fec65599e4b8dcefa3d81b156f,MOUSE.G11.Day7,G11,Before_Diet,7,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.G12.Day1,G12,Before_Diet,1,3022,0.26819311324103656
128696fec65599e4b8dcefa3d81b156f,MOUSE.G12.Day3,G12,Before_Diet,3,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.G12.Day7,G12,Before_Diet,7,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.G21.Day1,G21,Before_Diet,1,2629,0.22020269704330345
128696fec65599e4b8dcefa3d81b156f,MOUSE.G21.Day3,G21,Before_Diet,3,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.G21.Day7,G21,Before_Diet,7,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.H11.Day1,H11,After_Diet,1,1067,0.08247024269593446
128696fec65599e4b8dcefa3d81b156f,MOUSE.H11.Day3,H11,After_Diet,3,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.H11.Day7,H11,After_Diet,7,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.H12.Day1,H12,After_Diet,1,1422,0.11304555211066063
128696fec65599e4b8dcefa3d81b156f,MOUSE.H12.Day3,H12,After_Diet,3,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.H12.Day7,H12,After_Diet,7,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.H13.Day1,H13,After_Diet,1,995,0.07205445723803316
128696fec65599e4b8dcefa3d81b156f,MOUSE.H13.Day3,H13,After_Diet,3,0,0
128696fec65599e4b8dcefa3d81b156f,MOUSE.H13.Day7,H13,After_Diet,7,0,0
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G11.Day1,G11,Before_Diet,1,600,0.04343419719125525
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G11.Day3,G11,Before_Diet,3,53,0.00408383418092156
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G11.Day7,G11,Before_Diet,7,132,0.010249242953645469
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G12.Day1,G12,Before_Diet,1,712,0.06318778842740504
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G12.Day3,G12,Before_Diet,3,16,0.0014660069635330768
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G12.Day7,G12,Before_Diet,7,165,0.01584405607835606
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G21.Day1,G21,Before_Diet,1,507,0.042465868163162744
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G21.Day3,G21,Before_Diet,3,111,0.007233626588465298
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.G21.Day7,G21,Before_Diet,7,366,0.023538491221300407
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H11.Day1,H11,After_Diet,1,1298,0.10032462513526047
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H11.Day3,H11,After_Diet,3,640,0.045740423098913664
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H11.Day7,H11,After_Diet,7,411,0.03322017458777886
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H12.Day1,H12,After_Diet,1,1370,0.10891167819381509
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H12.Day3,H12,After_Diet,3,851,0.06309779787943946
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H12.Day7,H12,After_Diet,7,812,0.06132930513595166
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H13.Day1,H13,After_Diet,1,1614,0.11688029545948295
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H13.Day3,H13,After_Diet,3,1123,0.08646442870341854
d8999f85296a9d9f0eb3a48834df9d46,MOUSE.H13.Day7,H13,After_Diet,7,745,0.06303943137586732
cece12865e81c96a523b3bb6a4511561,MOUSE.G11.Day1,G11,Before_Diet,1,177,0.012813088171420298
cece12865e81c96a523b3bb6a4511561,MOUSE.G11.Day3,G11,Before_Diet,3,0,0
