FeatureID,SampleID,MouseID,Treatment,Time_days,Reads,RelAbund,Kingdom,Phylum,Class,Order,Family,Genus,Species
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H11.Day1,H11,After_Diet,1,56,0.004328335136806307,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H11.Day3,H11,After_Diet,3,1638,0.11706689536878216,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H11.Day7,H11,After_Diet,7,1978,0.159877141933398,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H12.Day1,H12,After_Diet,1,24,0.0019079418077748629,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H12.Day3,H12,After_Diet,3,743,0.0550900867502039,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H12.Day7,H12,After_Diet,7,97,0.007326283987915408,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H13.Day1,H13,After_Diet,1,28,0.00202766311825621,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H13.Day3,H13,After_Diet,3,800,0.061595318755774564,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila
438fb020cf251f2c2f4e89552e4a78ff,MOUSE.H13.Day7,H13,After_Diet,7,205,0.017346420714164833,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila
ca1392eaa969b2980a69cc34a327e112,MOUSE.G11.Day1,G11,Before_Diet,1,350,0.02533661502823223,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
